# Displaying trades for selected time interval: All
name,date,quantity,price,state
Super restore(4),2026-01-31 09:01 PM,215,10552,BOUGHT
Super restore(4),2026-01-31 09:02 PM,215,10600,SOLD
# Total profit: 10320

Onyx bolts (e),2026-01-31 09:04 PM,55,8403,CANCELLED_BUY
Onyx bolts (e),2026-01-31 09:05 PM,55,8428,SOLD
# Total profit: 1375

Amethyst,2026-01-31 08:47 PM,1,3187,CANCELLED_BUY
Amethyst,2026-01-31 09:00 PM,1,3225,SOLD
# Total profit: 38

Magic logs,2026-01-31 08:37 PM,1179,1010,BOUGHT
Magic logs,2026-01-31 08:38 PM,1179,1011,SOLD
# Total profit: 1179

Magic sapling,2026-01-31 08:02 PM,13,91508,BOUGHT
Magic sapling,2026-01-31 08:30 PM,8,92979,CANCELLED_SELL
Magic sapling,2026-01-31 08:38 PM,5,92979,SOLD
# Total profit: 19123

Red dragon leather,2026-01-31 07:39 PM,617,2698,BOUGHT
# Total profit: 0

Ruby dragon bolts (e),2026-01-31 07:47 PM,499,3334,BOUGHT
Ruby dragon bolts (e),2026-01-31 08:25 PM,499,3428,SOLD
Ruby dragon bolts (e),2026-01-31 08:34 PM,467,3394,BOUGHT
# Total profit: 46906

Dagannoth bones,2026-01-31 07:31 PM,130,12801,BOUGHT
Dagannoth bones,2026-01-31 07:54 PM,130,13044,SOLD
# Total profit: 31590

Dragon arrow,2026-01-31 07:14 PM,713,2435,BOUGHT
Dragon arrow,2026-01-31 07:14 PM,713,2441,SOLD
Dragon arrow,2026-01-31 07:20 PM,619,2435,BOUGHT
Dragon arrow,2026-01-31 07:25 PM,619,2440,SOLD
Dragon arrow,2026-01-31 08:29 PM,1,2433,BOUGHT
Dragon arrow,2026-01-31 08:35 PM,1,2450,SOLD
Dragon arrow,2026-01-31 08:46 PM,939,2436,CANCELLED_BUY
Dragon arrow,2026-01-31 08:47 PM,939,2450,SOLD
# Total profit: 20536

Adamantite bar,2026-01-31 07:10 PM,1304,1820,BOUGHT
Adamantite bar,2026-01-31 07:11 PM,1304,1837,SOLD
Adamantite bar,2026-01-31 07:16 PM,1002,1819,BOUGHT
Adamantite bar,2026-01-31 07:21 PM,1002,1836,SOLD
# Total profit: 39202

Dynamite,2026-01-31 06:31 PM,375,705,BOUGHT
Dynamite,2026-01-31 06:50 PM,153,737,CANCELLED_SELL
Dynamite,2026-01-31 07:11 PM,222,707,SOLD
# Total profit: 5340

Larran's key,2026-01-31 06:23 PM,1,129250,CANCELLED_BUY
Larran's key,2026-01-31 06:36 PM,1,131173,SOLD
# Total profit: 1923

Dragon dart,2026-01-31 05:23 PM,865,1398,BOUGHT
Dragon dart,2026-01-31 06:09 PM,865,1455,SOLD
Dragon dart,2026-01-31 06:53 PM,1166,1446,CANCELLED_BUY
Dragon dart,2026-01-31 07:09 PM,1166,1457,SOLD
Dragon dart,2026-01-31 07:14 PM,1440,1438,BOUGHT
Dragon dart,2026-01-31 07:32 PM,1440,1447,SOLD
Dragon dart,2026-01-31 09:00 PM,1590,1431,BOUGHT
Dragon dart,2026-01-31 09:02 PM,1590,1447,SOLD
# Total profit: 100531

Divine super combat potion(4),2026-01-31 04:45 PM,86,20547,BOUGHT
Divine super combat potion(4),2026-01-31 05:18 PM,86,20724,SOLD
Divine super combat potion(4),2026-01-31 06:27 PM,69,20438,BOUGHT
Divine super combat potion(4),2026-01-31 06:28 PM,69,20773,SOLD
# Total profit: 38337

Runite bar,2026-01-31 03:57 PM,797,12333,BOUGHT
# Total profit: 0

Magic longbow (u),2026-01-31 02:32 PM,1855,1078,BOUGHT
Magic longbow (u),2026-01-31 03:51 PM,1855,1075,SOLD
